aspect,group,measurement_scale,matched_sentences,unique_opinions,evidence_used_for_summary,cluster_weight,cec,asc_contribution
FAC_ROOM,FACILITY,"Room, Bed & Sleep Quality",543529,503905,5000,0.040701097821065596,0.6137666924722455,0.02946847861630715
FAC_BATH,FACILITY,Bathroom & Sanitary Area,282033,256847,5000,0.03861211217978742,0.6547614820040027,0.02743745494044317
FAC_INTERIOR,FACILITY,Interior Design & Ambience,95901,92089,5000,0.03543256975406506,0.5963269866096356,0.02561664299784073
FAC_BUILDING,FACILITY,Building Infrastructure,112751,109009,5000,0.03595542665328182,0.5488105669596918,0.028858246194125463
FAC_ENV,FACILITY,Noise & Environmental Comfort,81000,78934,5000,0.03495475830711925,0.522217524395037,0.02756036236888979
FAC_CLIMATE,FACILITY,Air Conditioning & Ventilation,132470,119706,5000,0.03624559304186773,0.7138686001719363,0.027069214835886087
FAC_SECURITY,FACILITY,Physical Security Infrastructure,18585,18235,5000,0.0304128168380478,0.473176021533148,0.02584227081968432
FAC_VIEW_LOCATION,FACILITY,"View, Surroundings & Location",356971,321132,5000,0.03930452195335384,0.6184727103671651,0.03082393358080558
AM_WIFI,AMENITY,Wifi & Connectivity,26211,24839,5000,0.03137084002621448,0.5197316911677267,0.02190112119391353
AM_FOOD,AMENITY,Food & Beverage,322839,292661,5000,0.0390167438565477,0.6030244668408926,0.03056968270778029
AM_POOL,AMENITY,Pool & Water Facilities,252164,226720,5000,0.03822536524728491,0.687716981858676,0.027902418850470827
AM_WELLNESS,AMENITY,"Gym, Spa & Wellness Facilities",69241,67012,5000,0.034447199528778547,0.5425941264578338,0.025416443356467127
AM_ENT,AMENITY,Entertainment & Recreation,35237,34153,5000,0.032357898795504624,0.494055239527853,0.027152204893084515
AM_TRANSPORT,AMENITY,Transportation & Parking,88957,82272,5000,0.03508314748484779,0.6545212732866972,0.022229316264408085
AM_ROOM_UTIL,AMENITY,In-room Utilities,58180,56279,5000,0.03390613385770286,0.49524832395820323,0.027119082270091254
AM_UTILITY,AMENITY,Laundry & Utility Services,57132,55416,5000,0.03385823286375327,0.5147554183316395,0.02192223184139168
SER_ATTITUDE,SERVICE,Staff Attitude & Hospitality,381124,328886,5000,0.03937848014345657,0.7288913526734343,0.030813739296547703
SER_OPERATION,SERVICE,Operational Efficiency,60851,59806,5000,0.03409455175476571,0.4583736404618217,0.025295245702406523
SER_SUPPORT,SERVICE,Support & Problem Resolution,62206,59789,5000,0.03409367051266972,0.5574582968311831,0.019105228203999538
SER_COMM,SERVICE,Communication Ability,40601,39762,5000,0.03282924863928296,0.5217101485223161,0.021883216400928183
EXP_OVERALL,EXPERIENCE,Overall Stay Experience,233534,211454,5000,0.03800928300473003,0.4723079284157867,0.026825071763503572
EXP_EMOTION,EXPERIENCE,Emotional Experience,54392,52541,5000,0.03369309438163468,0.51680774206968,0.02276307953403091
EXP_VALUE,EXPERIENCE,Value for Money,71351,65126,5000,0.03435870763791866,0.6091353686367414,0.025803964612606745
EXP_SAFETY,EXPERIENCE,Subjective Safety Feeling,91744,79994,5000,0.03499610806947721,0.7430003796813353,0.027146737706398253
BRA_REPUTE,BRANDING,Brand Reputation & Reliability,8263,8119,5000,0.02790485247514823,0.525489644714135,0.02268365164309095
BRA_LUXURY,BRANDING,Luxury & Premium Perception,19857,19486,5000,0.030618489688199843,0.5169779783856522,0.022085898418313592
LOY_RETURN,LOYALTY,Revisit Intention,22517,21219,5000,0.030882583754077566,0.5842507259939158,0.019979322013293374
LOY_RECOMMEND,LOYALTY,Recommendation Intention,31965,28125,5000,0.031755959164668675,0.576693202116808,0.019518746457283187
LOY_PREFERENCE,LOYALTY,Customer Preference & Attachment,7369,7126,5000,0.027500512564747306,0.4516723074883869,0.022691648689992343
